Customer ID,Name,Email,Phone Number,Age,Gender,Address,City,State,Zip Code,Product ID,Product Name,Category,Price,Quantity Purchased,Transaction Date,Payment Method,Total Amount
8516d8df-7424-4ec7-8daa-0e328cc9d080,Nicholas Fischer,delgadojeffrey@example.com,238-749-1899x9203,54,Female,"7416 Nicole Corner Apt. 951, Albertmouth, OK 50043",New Williamtown,West Virginia,41506,64883952-794d-4417-a7ad-737e61003877,Day The,Electronics,410.58,4,2024-08-14,Credit Card,1930.47
5fe14642-a28b-4c09-a39a-e7997638964b,Christina Mcdaniel,brittneyfrank@example.org,382.789.3960x511,35,Male,"3408 Craig Burgs Suite 068, Lake Corystad, KY 94822",South Ralph,Idaho,43769,5f36725a-f342-4802-a070-8be0c9ca2a18,Security Else,Clothing,30.34,5,2024-03-17,Cash,2138.62
d3c6b3ae-993c-4714-8e9d-1ba2f011c3bb,Kimberly Shaw DDS,david82@example.net,001-606-299-5670x017,70,Female,"2714 Riley Trafficway, East Shannon, WI 46539",South Richardchester,Arizona,37309,f5c7a2df-63c2-441f-ab6f-309b0d8fb1e8,Medical Baby,Home,194.81,6,2024-03-15,Cash,345.99
a21f585e-698f-494f-8a01-ff873bab0e8b,Samuel Jackson,ethompson@example.net,6078564942,54,Male,"0660 Nelson Forks Suite 252, New Brooketon, LA 53523",East Virginia,Pennsylvania,58661,06fc7a49-ab66-4ae4-819f-58e58338ab72,Main Institution,Beauty,172.97,4,2024-02-10,PayPal,208.35
6cec8e0b-aa43-46cd-bd07-c0f13c9b133c,Ronald Cole,henrylucas@example.com,001-326-825-4743,49,Male,"5530 Steven Fields, New Jeffreyport, VI 93328",Lake Taylorbury,South Dakota,66119,797cb86f-ccd0-479a-a450-a609b176e8b7,Program Hand,Home,467.46,3,2024-07-13,PayPal,611.65
5bedc347-31b3-4539-90aa-2c3e8b003929,Diana Ruiz,shawn62@example.com,304.334.4945x29391,37,Female,"71255 Wallace Camp, New George, RI 69599",Howardshire,North Carolina,45045,5aa3df38-55f4-4b3e-ab2c-f755a03d25c6,Early Expert,Clothing,146.82,5,2024-03-21,Cash,1059.66
59af759d-bf28-4838-829c-c2ae628277f0,Pamela Holland,smithjeremy@example.org,758-332-8135,52,Male,"9381 Henderson Crossroad Apt. 787, Lake Raymond, LA 91242",Clarkhaven,Virginia,26768,490133ac-df92-447a-ab02-b708f9d623d0,Unit Dinner,Clothing,11.89,5,2024-06-28,PayPal,2878.56
46239abd-6426-4daf-892f-7893816a1a18,Ryan Sanchez,thomascameron@example.org,201.470.4684x5568,40,Female,"USNS Ramos, FPO AA 10714",Latoyaland,Missouri,55323,b2eff57b-a282-4012-b356-d9dc7b15135e,Hot Impact,Home,371.67,1,2024-01-22,Cash,4432.94
4cb3343e-de1b-4012-855d-3934cfe3ee30,Jacob Jenkins,mckenziehart@example.net,(305)995-4349x1006,59,Male,"710 Carson Island, Jennifertown, MS 37193",East Cheryl,Arkansas,80650,150c20f4-26c4-4b91-8439-66af9380cf1c,Color Act,Home,478.47,7,2024-03-15,Credit Card,1264.81
c4809445-e2a8-4b65-9149-36907d4bfad0,Keith Lawrence,ajohnson@example.org,001-672-494-8702x1892,51,Male,"5917 Johnson Islands Suite 452, Whitemouth, MN 53995",Cooperside,New York,85180,0101e480-b10f-41d5-bf2b-19a0f7bf7d6a,Safe Foot,Clothing,120.96,9,2024-02-08,Credit Card,1111.9
